timestamp,project_name,user_id,model_id,prompt,type,reference_answer,generated_answer,generation_time,model_load_time,tokenizer_load_time,pipeline_load_time,precision,recall,f1
1690153624.859275,project1,jbottum,google/flan-t5-large,What is the capital of Germany?,Knowledge Retrieval,The capital of Germany is Berlin,berlin,0.8060426712036133,42.56755518913269,0.829888105392456,0.14228391647338867,0.8048427104949951,0.821587860584259,0.8131290674209595
1690153675.826726,project1,jbottum,google/flan-t5-large,What is the capital of Spain?,Knowledge Retrieval,The capital of Spain is Madrid,turin,0.7679011821746826,42.56755518913269,0.829888105392456,0.14228391647338867,0.7608890533447266,0.7964281439781189,0.7782530188560486
1690153681.510798,project1,jbottum,google/flan-t5-large,What is the capital of Canada?,Knowledge Retrieval,The capital of Canada is Ottawa,toronto,0.7281548976898193,42.56755518913269,0.829888105392456,0.14228391647338867,0.7787359356880188,0.7858681678771973,0.7822858095169067
1690153686.573192,project1,jbottum,google/flan-t5-large,"What is the next number in the sequence: 2, 4, 6, 8, ...? If all cats have tails, and Fluffy is a cat, does Fluffy have a tail?",Logical Reasoning,"The next number in the sequence is 10.  Yes, Fluffy is a cat and therefore has a tail.",yes,0.8449411392211914,42.56755518913269,0.829888105392456,0.14228391647338867,0.800387442111969,0.8080228567123413,0.8041870594024658
1690153692.146383,project1,jbottum,google/flan-t5-large,"If you eat too much junk food, what will happen to your health? How does smoking affect the risk of lung cancer?",Cause and Effect,Eating junk food can result in health problems like weight gain and high cholesterol. Smoking can cause lung issues including cancer.,no,0.7242929935455322,42.56755518913269,0.829888105392456,0.14228391647338867,0.8171018362045288,0.7950920462608337,0.8059467673301697
1690153697.19209,project1,jbottum,google/flan-t5-large,"In the same way that pen is related to paper, what is fork related to? If tree is related to forest, what is brick related to?",Analogical Reasoning,Fork is related to a plate.  A brick is related to a building.,brick is related to brick,1.1979711055755615,42.56755518913269,0.829888105392456,0.14228391647338867,0.9285570383071899,0.8974470496177673,0.9127370119094849
1690153702.863971,project1,jbottum,google/flan-t5-large,"Every time John eats peanuts, he gets a rash. Does John have a peanut allergy? Every time Sarah studies for a test, she gets an A. Will Sarah get an A on the next test if she studies?",Inductive Reasoning,"Maybe, to determine if Johns rash is caused by peanuts, he should take an allergy test for peanuts.   Maybe, Sarah will likely do well if she studies and she may be able to get an A.",yes,0.9479708671569824,42.56755518913269,0.829888105392456,0.14228391647338867,0.822684109210968,0.7907010316848755,0.8063755631446838
1690153708.511193,project1,jbottum,google/flan-t5-large,"All dogs have fur. Max is a dog. Does Max have fur? If it is raining outside, and Mary does not like to get wet, will Mary take an umbrella?",Deductive Reasoning,"Yes, Max is a dog and has fur.   Yes, Mary will take an umbrella.",yes,0.8212418556213379,42.56755518913269,0.829888105392456,0.14228391647338867,0.8057858347892761,0.8084622025489807,0.8071218132972717
1690153713.735646,project1,jbottum,google/flan-t5-large,"If I had studied harder, would I have passed the exam? What would have happened if Thomas Edison had not invented the light bulb?",Counterfactual Reasoning,"Yes, if you studied harder, you would have passed the test.  If Thomas Edison did not invent the light blub, another inventor would have created the light bulb.",no one would have invented the light bulb,1.4967129230499268,42.56755518913269,0.829888105392456,0.14228391647338867,0.9020756483078003,0.8665458559989929,0.8839539289474487
1690153719.917092,project1,jbottum,google/flan-t5-large,"The center of Tropical Storm Arlene, at 02/1800 UTC, is near 26.7N 86.2W. This position is about 425 km/230 nm to the west of Fort Myers in Florida, and it is about 550 km/297 nm to the NNW of the western tip of Cuba. The tropical storm is moving southward, or 175 degrees, 4 knots. The estimated minimum central pressure is 1002 mb. The maximum sustained wind speeds are 35 knots with gusts to 45 knots. The sea heights that are close to the tropical storm are ranging from 6 feet to a maximum of 10 feet.  Precipitation: scattered to numerous moderate is within 180 nm of the center in the NE quadrant. Isolated moderate is from 25N to 27N between 80W and 84W, including parts of south Florida.  Broad surface low pressure extends from the area of the tropical storm, through the Yucatan Channel, into the NW part of the Caribbean Sea.   Where and when will the storm make landfall?",In Context,"If Arlene continues in the same direciton and speed, storm will make landfall in the Forida Keys in 18 hours from this report.","about 425 km/230 nm to the west of Fort Myers in Florida, and it is about 550 km/297 nm to the NNW of the western tip of Cuba",8.114263772964478,42.56755518913269,0.829888105392456,0.14228391647338867,0.793580174446106,0.8164472579956055,0.8048513531684875
